TRN#_(INTERNAL);PER_FLU_RECIBO;PER_FLU_PAGO;FINALIDAD;DELIVERY/SETTLEMENT SWAPS;HEDGE LINK;SOSTENIBILIDAD;GAMMA;VEGA;DELTA
47940297;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940298;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940299;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940300;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940301;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940302;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940303;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940304;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940305;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940306;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940307;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940308;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940309;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940310;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940311;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940312;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940313;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940314;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940315;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940316;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940317;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940318;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940319;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940320;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940321;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940322;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940323;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940324;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940325;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940326;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940327;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940328;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940329;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47940330;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47940331;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940332;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940333;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940334;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940335;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940336;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940337;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47940338;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940339;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940340;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940341;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47940342;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940343;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940344;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940345;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940346;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940347;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940348;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940349;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940350;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940351;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940352;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940353;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940354;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940355;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940356;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940357;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940358;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940359;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940360;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940361;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940362;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940363;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940364;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940365;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940366;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940367;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940368;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940369;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940370;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940371;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940372;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940373;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940374;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940375;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940376;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940377;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940378;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940379;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940380;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940381;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940382;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940383;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940384;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47940385;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940386;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940387;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47940388;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47940389;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940390;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940391;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940392;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940393;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47940394;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940395;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940396;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940397;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940398;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47940399;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940400;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940401;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940402;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940403;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47940404;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940405;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940406;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940407;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940408;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940409;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940410;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940411;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940412;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940413;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940414;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940415;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940416;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940417;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940418;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940419;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940420;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940421;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940422;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940423;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940424;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940425;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940426;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940427;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940428;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940429;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940430;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940431;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940432;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940433;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940434;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940435;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940436;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940437;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940438;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940439;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940440;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940441;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940442;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47940443;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940444;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940445;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940446;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940447;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47940448;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940449;1m;0od;DC;D;;;0.0000;0.0000;0.0000
47940450;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940451;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940452;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940453;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940454;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940455;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940456;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940457;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940458;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940459;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940460;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47940461;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940462;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940463;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940464;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940465;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940466;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940467;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940468;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940469;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940470;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940471;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940472;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47940473;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940474;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940475;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940476;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940477;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940478;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47940479;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940480;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940481;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940482;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940483;1m;0od;DC;D;;;0.0000;0.0000;0.0000
47940484;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940485;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47940486;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940487;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940488;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940489;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940490;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940491;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940492;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940493;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940494;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940495;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47940496;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940497;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940498;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940499;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47940500;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940501;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940502;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940503;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47940504;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940505;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940506;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47940507;3m;3m;DC;D;;;0.0000;0.0000;0.0000
